"courseStu","courseStr","stuUDID","McountN","McountA","McountM","McountE"
"s....7......:152","s....7......",152,0,1,9,5
"s......7....:152","s......7....",152,0,0,0,0
"s..........7:152","s..........7",152,1,5,0,0
"s7..........:153","s7..........",153,3,13,13,0
"s.7.........:153","s.7.........",153,1,9,10,0
"s..7........:153","s..7........",153,14,2,3,0
"s....7......:153","s....7......",153,0,5,6,4
"s......7....:153","s......7....",153,0,0,0,0
"s..........7:153","s..........7",153,1,5,0,0
"s7..........:154","s7..........",154,10,18,1,0
"s.7.........:154","s.7.........",154,2,11,5,0
"s..7........:154","s..7........",154,0,1,0,0
"s....7......:154","s....7......",154,1,5,6,3
"s......7....:154","s......7....",154,0,0,0,0
"s..........7:154","s..........7",154,3,2,0,0
"s7..........:155","s7..........",155,0,0,21,8
"s.7.........:155","s.7.........",155,0,3,14,2
"s..7........:155","s..7........",155,13,0,4,1
"s....7......:155","s....7......",155,0,3,7,5
"s......7....:155","s......7....",155,0,0,0,0
"s..........7:155","s..........7",155,2,5,0,0
"s7..........:156","s7..........",156,1,13,15,0
"s.7.........:156","s.7.........",156,1,6,10,1
"s..7........:156","s..7........",156,13,0,5,0
"s....7......:156","s....7......",156,0,6,4,5
"s......7....:156","s......7....",156,0,0,0,0
"s..........7:156","s..........7",156,5,2,0,0
"s7..........:157","s7..........",157,4,21,4,0
"s.7.........:157","s.7.........",157,1,8,9,0
"s..7........:157","s..7........",157,0,0,1,1
"s....7......:157","s....7......",157,0,6,7,2
"s......7....:157","s......7....",157,0,0,0,0
"s..........7:157","s..........7",157,4,3,0,0
"s7..........:158","s7..........",158,0,7,21,1
"s.7.........:158","s.7.........",158,2,7,10,0
"s..7........:158","s..7........",158,14,1,2,0
"s....7......:158","s....7......",158,0,4,6,5
"s......7....:158","s......7....",158,0,0,0,0
"s..........7:158","s..........7",158,3,4,0,0
"s7..........:159","s7..........",159,7,19,3,0
"s.7.........:159","s.7.........",159,3,9,6,0
"s..7........:159","s..7........",159,0,1,1,0
"s....7......:159","s....7......",159,1,7,2,5
"s......7....:159","s......7....",159,0,0,0,0
"s..........7:159","s..........7",159,1,6,0,0
"s7..........:160","s7..........",160,0,2,17,10
"s.7.........:160","s.7.........",160,1,6,12,0
"s..7........:160","s..7........",160,14,1,3,1
"s....7......:160","s....7......",160,0,3,7,5
"s......7....:160","s......7....",160,0,0,0,0
"s..........7:160","s..........7",160,1,5,1,0
"s7..........:161","s7..........",161,0,0,25,4
"s.7.........:161","s.7.........",161,0,2,12,5
"s..7........:161","s..7........",161,14,0,3,2
"s....7......:161","s....7......",161,0,2,7,6
"s......7....:161","s......7....",161,0,0,0,0
"s..........7:161","s..........7",161,0,6,1,0
"s7..........:162","s7..........",162,11,15,3,0
"s.7.........:162","s.7.........",162,0,12,7,0
"s..7........:162","s..7........",162,14,1,4,0
"s....7......:162","s....7......",162,1,2,11,1
"s......7....:162","s......7....",162,0,0,0,0
"s..........7:162","s..........7",162,4,3,0,0
"s7..........:163","s7..........",163,0,0,0,0
"s....7......:163","s....7......",163,0,0,0,0
"s7..........:164","s7..........",164,5,13,11,0
"s.7.........:164","s.7.........",164,2,11,5,0
"s..7........:164","s..7........",164,13,2,1,0
"s....7......:164","s....7......",164,1,7,3,4
"s......7....:164","s......7....",164,0,0,0,0
"s..........7:164","s..........7",164,4,3,0,0
"s7..........:165","s7..........",165,8,15,6,0
"s.7.........:165","s.7.........",165,1,13,5,0
"s..7........:165","s..7........",165,0,2,2,0
"s....7......:165","s....7......",165,0,8,4,3
"s......7....:165","s......7....",165,0,0,0,0
"s..........7:165","s..........7",165,2,5,0,0
"s7..........:166","s7..........",166,0,0,21,8
"s.7.........:166","s.7.........",166,6,9,3,0
"s..7........:166","s..7........",166,0,3,1,0
"s....7......:166","s....7......",166,0,4,6,5
"s......7....:166","s......7....",166,0,0,0,0
"s..........7:166","s..........7",166,2,4,0,0
"s7..........:167","s7..........",167,1,9,19,0
"s.7.........:167","s.7.........",167,0,9,8,1
"s..7........:167","s..7........",167,14,1,3,1
"s....7......:167","s....7......",167,1,5,4,5
"s......7....:167","s......7....",167,0,0,0,0
"s..........7:167","s..........7",167,1,3,0,0
"s7..........:168","s7..........",168,3,13,13,0
"s.7.........:168","s.7.........",168,4,5,11,0
"s..7........:168","s..7........",168,13,1,3,0
"s....7......:168","s....7......",168,0,7,6,2
"s......7....:168","s......7....",168,0,0,0,0
"s..........7:168","s..........7",168,2,4,0,0
"s7..........:169","s7..........",169,0,1,24,4
"s.7.........:169","s.7.........",169,0,8,11,0
"s..7........:169","s..7........",169,14,0,4,1
"s....7......:169","s....7......",169,0,1,9,5
"s......7....:169","s......7....",169,0,0,0,0
"s..........7:169","s..........7",169,2,5,0,0
"s7..........:170","s7..........",170,0,10,19,0
"s.7.........:170","s.7.........",170,0,7,11,0
"s..7........:170","s..7........",170,14,0,2,1
"s....7......:170","s....7......",170,0,6,4,5
"s......7....:170","s......7....",170,0,0,0,0
"s..........7:170","s..........7",170,0,2,5,0
"s7..........:171","s7..........",171,1,11,17,0
"s.7.........:171","s.7.........",171,0,7,12,0
"s..7........:171","s..7........",171,14,0,4,1
"s....7......:171","s....7......",171,0,4,7,4
"s......7....:171","s......7....",171,0,0,0,0
"s..........7:171","s..........7",171,1,5,1,0
"s7..........:172","s7..........",172,2,2,5,0
"s.7.........:172","s.7.........",172,0,0,0,0
"s..7........:172","s..7........",172,0,1,1,0
"s....7......:172","s....7......",172,1,5,0,0
"s......7....:172","s......7....",172,0,0,0,0
"s..........7:172","s..........7",172,0,0,0,0
"s7..........:173","s7..........",173,0,3,26,0
"s.7.........:173","s.7.........",173,0,5,14,0
"s..7........:173","s..7........",173,14,1,3,1
"s....7......:173","s....7......",173,0,4,6,5
"s......7....:173","s......7....",173,0,0,0,0
"s..........7:173","s..........7",173,0,6,1,0
"s7..........:174","s7..........",174,0,7,22,0
"s.7.........:174","s.7.........",174,0,11,8,0
"s..7........:174","s..7........",174,9,1,2,0
"s....7......:174","s....7......",174,0,3,7,5
"s......7....:174","s......7....",174,0,0,0,0
"s..........7:174","s..........7",174,2,5,0,0
"s7..........:175","s7..........",175,1,12,16,0
"s.7.........:175","s.7.........",175,0,11,7,0
"s..7........:175","s..7........",175,14,1,3,1
"s....7......:175","s....7......",175,0,6,4,5
"s......7....:175","s......7....",175,0,0,0,0
"s..........7:175","s..........7",175,4,2,1,0
"s7..........:176","s7..........",176,1,14,14,0
"s.7.........:176","s.7.........",176,0,7,10,1
"s..7........:176","s..7........",176,0,1,3,0
"s....7......:176","s....7......",176,1,5,5,4
"s......7....:176","s......7....",176,0,0,0,0
"s..........7:176","s..........7",176,0,3,4,0
"s7..........:177","s7..........",177,0,0,0,0
"s7..........:178","s7..........",178,4,11,14,0
"s.7.........:178","s.7.........",178,2,9,8,0
"s..7........:178","s..7........",178,14,2,1,0
"s....7......:178","s....7......",178,0,8,3,4
"s......7....:178","s......7....",178,0,0,0,0
"s..........7:178","s..........7",178,4,3,0,0
"s7..........:179","s7..........",179,0,0,0,0
"s8..........:180","s8..........",180,1,2,14,13
"s.8.........:180","s.8.........",180,0,1,4,0
"s..8........:180","s..8........",180,0,0,13,0
"s...8.......:180","s...8.......",180,1,2,1,0
"s....8......:180","s....8......",180,0,0,6,2
"s......8....:180","s......8....",180,0,8,8,1
"s........9..:180","s........9..",180,2,0,0,0
"s..........8:180","s..........8",180,0,5,2,0
"s8..........:181","s8..........",181,4,4,20,2
"s.8.........:181","s.8.........",181,1,4,0,0
"s..8........:181","s..8........",181,0,0,13,0
"s...8.......:181","s...8.......",181,0,4,1,0
"s....8......:181","s....8......",181,0,4,4,1
"s......8....:181","s......8....",181,0,16,2,0
"s........9..:181","s........9..",181,1,0,0,0
"s..........8:181","s..........8",181,2,4,1,0
"s8..........:182","s8..........",182,6,15,6,2
"s.8.........:182","s.8.........",182,1,0,4,0
"s..8........:182","s..8........",182,2,6,5,0
"s...8.......:182","s...8.......",182,0,4,1,0
"s....8......:182","s....8......",182,1,6,2,0
"s......8....:182","s......8....",182,0,0,1,0
"s..........8:182","s..........8",182,2,3,0,0
"s8..........:183","s8..........",183,6,1,13,10
"s.8.........:183","s.8.........",183,0,1,3,1
"s..8........:183","s..8........",183,0,4,9,0
"s...8.......:183","s...8.......",183,0,3,2,0
"s....8......:183","s....8......",183,0,2,4,2
"s......8....:183","s......8....",183,0,0,1,0
"s........9..:183","s........9..",183,0,0,0,0
"s..........8:183","s..........8",183,1,4,2,0
"s8..........:184","s8..........",184,3,14,11,0
"s.8.........:184","s.8.........",184,0,0,4,1
"s..8........:184","s..8........",184,0,5,8,0
"s...8.......:184","s...8.......",184,0,2,0,0
"s....8......:184","s....8......",184,0,4,5,0
"s......8....:184","s......8....",184,0,1,0,0
"s..........8:184","s..........8",184,1,4,2,0
"s8..........:185","s8..........",185,3,11,13,1
"s.8.........:185","s.8.........",185,0,1,3,1
"s..8........:185","s..8........",185,0,5,8,0
"s...8.......:185","s...8.......",185,0,2,3,0
"s....8......:185","s....8......",185,0,4,3,2
"s......8....:185","s......8....",185,0,0,0,0
"s..........8:185","s..........8",185,0,2,3,2
"s8..........:186","s8..........",186,2,8,14,6
"s.8.........:186","s.8.........",186,0,2,3,0
"s..8........:186","s..8........",186,0,2,11,0
"s...8.......:186","s...8.......",186,0,4,1,0
"s....8......:186","s....8......",186,0,7,1,1
"s......8....:186","s......8....",186,0,0,0,0
"s..........8:186","s..........8",186,0,3,1,2
"s8..........:187","s8..........",187,1,11,14,4
"s.8.........:187","s.8.........",187,0,0,3,2
"s..8........:187","s..8........",187,0,1,12,0
"s...8.......:187","s...8.......",187,0,0,5,0
"s....8......:187","s....8......",187,0,2,3,3
"s......8....:187","s......8....",187,0,0,1,0
"s..........8:187","s..........8",187,1,5,0,0
"s8..........:188","s8..........",188,2,10,13,3
"s.8.........:188","s.8.........",188,1,2,2,0
"s..8........:188","s..8........",188,3,2,8,0
"s...8.......:188","s...8.......",188,0,2,3,0
"s....8......:188","s....8......",188,1,4,4,0
"s......8....:188","s......8....",188,0,0,1,0
"s..........8:188","s..........8",188,3,3,0,0
"s8..........:189","s8..........",189,4,8,15,4
"s.8.........:189","s.8.........",189,0,2,3,0
"s..8........:189","s..8........",189,5,2,5,0
"s...8.......:189","s...8.......",189,0,3,2,0
"s....8......:189","s....8......",189,1,3,2,3
"s......8....:189","s......8....",189,0,0,0,0
"s..........8:189","s..........8",189,0,5,2,0
"s8..........:190","s8..........",190,3,8,17,1
"s.8.........:190","s.8.........",190,0,4,1,0
"s..8........:190","s..8........",190,5,0,7,0
"s...8.......:190","s...8.......",190,0,3,0,0
"s....8......:190","s....8......",190,0,6,1,2
"s......8....:190","s......8....",190,0,0,1,0
"s..........8:190","s..........8",190,1,5,1,0
"s8..........:191","s8..........",191,3,12,6,2
"s.8.........:191","s.8.........",191,0,0,0,0
"s..8........:191","s..8........",191,5,1,6,0
"s...8.......:191","s...8.......",191,0,1,0,0
"s....8......:191","s....8......",191,0,4,5,0
"s......8....:191","s......8....",191,0,0,1,0
"s..........8:191","s..........8",191,3,3,1,0
"s8..........:192","s8..........",192,0,6,21,3
"s.8.........:192","s.8.........",192,0,2,3,0
"s..8........:192","s..8........",192,5,0,7,0
"s...8.......:192","s...8.......",192,0,3,0,0
"s....8......:192","s....8......",192,0,4,4,0
"s......8....:192","s......8....",192,0,0,1,0
"s........9..:192","s........9..",192,0,0,0,0
"s..........8:192","s..........8",192,0,7,0,0
"s8..........:193","s8..........",193,2,10,10,1
"s.8.........:193","s.8.........",193,0,0,0,0
"s..8........:193","s..8........",193,6,5,1,0
"s...8.......:193","s...8.......",193,0,3,0,0
"s....8......:193","s....8......",193,0,5,1,3
"s......8....:193","s......8....",193,8,5,1,0
"s..........8:193","s..........8",193,0,4,2,1
"s8..........:194","s8..........",194,4,12,11,3
"s.8.........:194","s.8.........",194,1,3,1,0
"s..8........:194","s..8........",194,5,2,5,0
"s...8.......:194","s...8.......",194,0,2,3,0
"s....8......:194","s....8......",194,0,4,3,2
"s......8....:194","s......8....",194,0,0,1,0
"s..........8:194","s..........8",194,3,3,1,0
"s8..........:195","s8..........",195,1,11,6,6
"s.8.........:195","s.8.........",195,1,3,1,0
"s..8........:195","s..8........",195,5,3,4,0
"s....8......:195","s....8......",195,0,7,2,0
"s......8....:195","s......8....",195,0,1,0,0
"s..........8:195","s..........8",195,0,7,0,0
"s8..........:196","s8..........",196,3,14,10,0
"s.8.........:196","s.8.........",196,1,3,1,0
"s..8........:196","s..8........",196,5,4,3,0
"s...8.......:196","s...8.......",196,0,1,0,0
"s....8......:196","s....8......",196,0,5,4,0
"s......8....:196","s......8....",196,0,1,0,0
"s..........8:196","s..........8",196,0,7,0,0
"s8..........:197","s8..........",197,3,6,15,1
"s.8.........:197","s.8.........",197,0,2,3,0
"s..8........:197","s..8........",197,5,2,5,0
"s...8.......:197","s...8.......",197,0,4,1,0
"s....8......:197","s....8......",197,0,6,1,2
"s......8....:197","s......8....",197,0,0,1,0
"s........9..:197","s........9..",197,0,0,0,0
"s..........8:197","s..........8",197,0,6,1,0
"s8..........:198","s8..........",198,6,8,11,3
"s.8.........:198","s.8.........",198,0,0,5,0
"s..8........:198","s..8........",198,5,5,2,0
"s...8.......:198","s...8.......",198,0,1,0,0
"s....8......:198","s....8......",198,1,7,1,0
"s......8....:198","s......8....",198,0,0,0,0
"s..........8:198","s..........8",198,0,4,1,1
"s8..........:199","s8..........",199,2,7,19,1
"s.8.........:199","s.8.........",199,1,4,0,0
"s..8........:199","s..8........",199,5,1,6,0
"s...8.......:199","s...8.......",199,0,3,2,0
"s....8......:199","s....8......",199,0,5,3,1
"s......8....:199","s......8....",199,0,1,0,0
"s..........8:199","s..........8",199,1,4,2,0
"s8..........:200","s8..........",200,3,9,17,1
"s.8.........:200","s.8.........",200,0,2,3,0
"s..8........:200","s..8........",200,5,2,5,0
"s...8.......:200","s...8.......",200,0,4,0,0
"s....8......:200","s....8......",200,0,3,4,0
"s......8....:200","s......8....",200,0,0,1,0
"s..........8:200","s..........8",200,1,5,1,0
"s8..........:201","s8..........",201,8,19,4,0
"s.8.........:201","s.8.........",201,0,1,4,0
"s..8........:201","s..8........",201,5,5,2,0
"s...8.......:201","s...8.......",201,0,1,0,0
"s....8......:201","s....8......",201,0,5,3,1
"s......8....:201","s......8....",201,0,0,0,0
"s..........8:201","s..........8",201,0,5,0,0
"s....8......:202","s....8......",202,0,0,0,0
"s........9..:202","s........9..",202,0,0,0,0
"s..........8:202","s..........8",202,0,0,0,0
"s8..........:203","s8..........",203,3,10,18,0
"s.8.........:203","s.8.........",203,0,3,2,0
"s..8........:203","s..8........",203,5,1,6,0
"s...8.......:203","s...8.......",203,0,2,2,0
"s....8......:203","s....8......",203,0,6,3,0
"s......8....:203","s......8....",203,0,0,1,0
"s..........8:203","s..........8",203,1,3,2,0
"s8..........:204","s8..........",204,4,7,17,3
"s.8.........:204","s.8.........",204,0,5,0,0
"s..8........:204","s..8........",204,5,3,4,0
"s...8.......:204","s...8.......",204,0,2,0,0
"s....8......:204","s....8......",204,0,7,1,1
"s......8....:204","s......8....",204,0,0,1,0
"s..........8:204","s..........8",204,3,1,1,0
"s8..........:205","s8..........",205,1,4,26,0
"s.8.........:205","s.8.........",205,0,2,3,0
"s..8........:205","s..8........",205,5,0,7,0
"s...8.......:205","s...8.......",205,0,1,0,0
"s....8......:205","s....8......",205,0,3,4,2
"s......8....:205","s......8....",205,0,0,0,0
"s........9..:205","s........9..",205,0,0,0,0
"s..........8:205","s..........8",205,0,5,2,0
"s8..........:206","s8..........",206,3,8,20,0
"s.8.........:206","s.8.........",206,0,2,3,0
"s..8........:206","s..8........",206,5,3,4,0
"s...8.......:206","s...8.......",206,0,1,0,0
"s....8......:206","s....8......",206,0,3,6,0
"s......8....:206","s......8....",206,0,0,1,0
"s..........8:206","s..........8",206,1,5,1,0
"s8..........:207","s8..........",207,0,3,24,4
"s.8.........:207","s.8.........",207,0,4,1,0
"s..8........:207","s..8........",207,5,1,6,0
"s...8.......:207","s...8.......",207,0,1,0,0
"s....8......:207","s....8......",207,0,2,4,3
"s......8....:207","s......8....",207,0,0,1,0
"s..........8:207","s..........8",207,0,4,3,0
"s8..........:208","s8..........",208,2,18,9,2
"s.8.........:208","s.8.........",208,3,2,0,0
"s..8........:208","s..8........",208,6,4,2,0
"s....8......:208","s....8......",208,0,7,2,0
"s......8....:208","s......8....",208,0,0,1,0
"s..........8:208","s..........8",208,0,5,2,0
"s8..........:209","s8..........",209,4,8,10,0
"s.8.........:209","s.8.........",209,1,2,2,0
"s..8........:209","s..8........",209,5,2,5,0
"s...8.......:209","s...8.......",209,0,1,0,0
"s....8......:209","s....8......",209,0,4,5,0
"s......8....:209","s......8....",209,0,0,1,0
"s..........8:209","s..........8",209,4,2,0,0
"s8..........:210","s8..........",210,3,7,19,0
"s.8.........:210","s.8.........",210,1,2,2,0
"s..8........:210","s..8........",210,5,4,3,0
"s...8.......:210","s...8.......",210,0,1,0,0
"s....8......:210","s....8......",210,0,6,2,1
"s......8....:210","s......8....",210,0,0,1,0
"s..........8:210","s..........8",210,0,4,2,0
"s8..........:211","s8..........",211,5,14,8,1
"s.8.........:211","s.8.........",211,2,3,0,0
"s..8........:211","s..8........",211,6,6,0,0
"s...8.......:211","s...8.......",211,0,1,0,0
"s....8......:211","s....8......",211,0,7,2,0
"s......8....:211","s......8....",211,0,0,0,0
"s..........8:211","s..........8",211,0,6,0,0
"s8..........:212","s8..........",212,8,5,2,2
"s.8.........:212","s.8.........",212,0,2,3,0
"s..8........:212","s..8........",212,5,2,5,0
"s....8......:212","s....8......",212,0,2,5,2
"s......8....:212","s......8....",212,0,0,1,0
"s..........8:212","s..........8",212,0,5,0,0
"s8..........:213","s8..........",213,3,7,19,1
"s.8.........:213","s.8.........",213,0,0,0,0
"s..8........:213","s..8........",213,5,5,2,0
"s...8.......:213","s...8.......",213,0,1,0,0
"s....8......:213","s....8......",213,0,4,4,1
"s......8....:213","s......8....",213,0,0,0,0
"s..........8:213","s..........8",213,0,4,2,0
"s8..........:214","s8..........",214,2,4,23,1
"s.8.........:214","s.8.........",214,0,2,3,0
"s..8........:214","s..8........",214,5,1,6,0
"s...8.......:214","s...8.......",214,0,1,0,0
"s....8......:214","s....8......",214,0,4,4,1
"s......8....:214","s......8....",214,0,0,1,0
"s..........8:214","s..........8",214,1,5,0,0
"s8..........:215","s8..........",215,2,15,11,1
"s.8.........:215","s.8.........",215,1,3,1,0
"s..8........:215","s..8........",215,6,6,0,0
"s...8.......:215","s...8.......",215,0,1,0,0
"s....8......:215","s....8......",215,0,5,2,2
"s......8....:215","s......8....",215,0,0,1,0
"s..........8:215","s..........8",215,1,5,0,0
"s8..........:216","s8..........",216,1,11,19,0
"s.8.........:216","s.8.........",216,2,2,1,0
"s..8........:216","s..8........",216,5,3,4,0
"s...8.......:216","s...8.......",216,0,1,0,0
"s....8......:216","s....8......",216,0,5,2,2
"s......8....:216","s......8....",216,0,0,1,0
"s..........8:216","s..........8",216,0,5,1,1
"s8..........:217","s8..........",217,7,13,3,0
"s.8.........:217","s.8.........",217,0,3,2,0
"s..8........:217","s..8........",217,5,7,0,0
"s...8.......:217","s...8.......",217,0,1,0,0
"s....8......:217","s....8......",217,0,8,1,0
"s......8....:217","s......8....",217,0,0,1,0
"s..........8:217","s..........8",217,1,6,0,0
"s8..........:218","s8..........",218,0,1,26,4
"s.8.........:218","s.8.........",218,0,3,2,0
"s..8........:218","s..8........",218,5,1,6,0
"s...8.......:218","s...8.......",218,0,0,1,0
"s....8......:218","s....8......",218,0,4,4,0
"s......8....:218","s......8....",218,0,0,1,0
"s........9..:218","s........9..",218,0,0,0,0
"s..........8:218","s..........8",218,0,4,3,0
"s8..........:220","s8..........",220,6,13,3,0
"s.8.........:220","s.8.........",220,2,3,0,0
"s..8........:220","s..8........",220,10,2,0,0
"s....8......:220","s....8......",220,1,7,1,0
"s......8....:220","s......8....",220,0,1,0,0
"s..........8:220","s..........8",220,2,4,0,0
"s8..........:221","s8..........",221,5,16,5,0
"s.8.........:221","s.8.........",221,1,2,2,0
"s..8........:221","s..8........",221,6,5,1,0
"s....8......:221","s....8......",221,1,7,1,0
"s......8....:221","s......8....",221,0,0,0,0
"s..........8:221","s..........8",221,1,6,0,0
"s8..........:222","s8..........",222,3,3,17,5
"s.8.........:222","s.8.........",222,0,0,0,5
"s..8........:222","s..8........",222,5,1,6,0
"s...8.......:222","s...8.......",222,0,0,5,0
"s....8......:222","s....8......",222,0,5,2,2
"s......8....:222","s......8....",222,0,0,0,0
"s..........8:222","s..........8",222,0,2,0,5
"s8..........:223","s8..........",223,9,11,8,0
"s.8.........:223","s.8.........",223,0,1,4,0
"s..8........:223","s..8........",223,5,6,1,0
"s...8.......:223","s...8.......",223,0,1,0,0
"s....8......:223","s....8......",223,0,5,4,0
"s......8....:223","s......8....",223,0,0,0,0
"s..........8:223","s..........8",223,0,6,1,0
"s8..........:224","s8..........",224,4,11,13,0
"s.8.........:224","s.8.........",224,2,2,1,0
"s..8........:224","s..8........",224,5,3,4,0
"s...8.......:224","s...8.......",224,0,5,0,0
"s....8......:224","s....8......",224,0,4,5,0
"s......8....:224","s......8....",224,0,0,0,0
"s..........8:224","s..........8",224,0,3,4,0
"s8..........:225","s8..........",225,5,11,9,0
"s.8.........:225","s.8.........",225,1,2,2,0
"s..8........:225","s..8........",225,7,2,3,0
"s....8......:225","s....8......",225,0,5,4,0
"s......8....:225","s......8....",225,0,0,0,0
"s..........8:225","s..........8",225,0,6,1,0
"s8..........:226","s8..........",226,0,9,20,0
"s.8.........:226","s.8.........",226,0,0,5,0
"s..8........:226","s..8........",226,5,4,3,0
"s...8.......:226","s...8.......",226,0,4,0,0
"s....8......:226","s....8......",226,1,5,2,1
"s......8....:226","s......8....",226,0,0,0,0
"s..........8:226","s..........8",226,0,6,1,0
"s8..........:227","s8..........",227,3,10,16,0
"s.8.........:227","s.8.........",227,0,1,4,0
"s..8........:227","s..8........",227,5,3,4,0
"s...8.......:227","s...8.......",227,0,2,0,0
"s....8......:227","s....8......",227,0,3,5,1
"s......8....:227","s......8....",227,0,0,0,0
"s..........8:227","s..........8",227,0,6,1,0
"s8..........:228","s8..........",228,3,12,8,0
"s.8.........:228","s.8.........",228,0,4,1,0
"s..8........:228","s..8........",228,5,2,5,0
"s...8.......:228","s...8.......",228,0,3,1,0
"s....8......:228","s....8......",228,0,6,3,0
"s......8....:228","s......8....",228,0,0,0,0
"s..........8:228","s..........8",228,0,4,3,0
"s8..........:229","s8..........",229,0,0,19,10
"s.8.........:229","s.8.........",229,0,0,5,0
"s..8........:229","s..8........",229,5,0,7,0
"s...8.......:229","s...8.......",229,0,2,0,0
"s....8......:229","s....8......",229,0,1,8,0
"s......8....:229","s......8....",229,0,0,0,0
"s........9..:229","s........9..",229,0,0,0,0
"s..........8:229","s..........8",229,0,2,0,5
"s8..........:230","s8..........",230,5,20,2,1
"s.8.........:230","s.8.........",230,0,0,5,0
"s..8........:230","s..8........",230,6,4,2,0
"s...8.......:230","s...8.......",230,0,3,0,0
"s....8......:230","s....8......",230,0,7,2,0
"s......8....:230","s......8....",230,0,0,0,0
"s..........8:230","s..........8",230,4,3,0,0
"s8..........:231","s8..........",231,10,10,4,1
"s.8.........:231","s.8.........",231,1,0,4,0
"s..8........:231","s..8........",231,5,2,5,0
"s....8......:231","s....8......",231,1,5,3,0
"s......8....:231","s......8....",231,0,0,0,0
"s..........8:231","s..........8",231,0,6,1,0
"s8..........:232","s8..........",232,0,4,24,1
"s.8.........:232","s.8.........",232,0,1,4,0
"s..8........:232","s..8........",232,5,0,7,0
"s...8.......:232","s...8.......",232,0,2,1,0
"s....8......:232","s....8......",232,0,4,5,0
"s......8....:232","s......8....",232,0,0,0,0
"s..........8:232","s..........8",232,0,2,0,5
"s8..........:233","s8..........",233,0,1,26,2
"s.8.........:233","s.8.........",233,0,2,3,0
"s..8........:233","s..8........",233,5,0,7,0
"s...8.......:233","s...8.......",233,0,1,2,2
"s....8......:233","s....8......",233,0,3,6,0
"s......8....:233","s......8....",233,0,0,0,0
"s..........8:233","s..........8",233,0,5,2,0
"s8..........:234","s8..........",234,3,13,8,2
"s.8.........:234","s.8.........",234,0,4,0,0
"s..8........:234","s..8........",234,6,3,3,0
"s...8.......:234","s...8.......",234,0,5,0,0
"s....8......:234","s....8......",234,0,3,5,1
"s......8....:234","s......8....",234,0,0,0,0
"s..........8:234","s..........8",234,0,6,1,0
"s8..........:235","s8..........",235,2,16,7,1
"s.8.........:235","s.8.........",235,0,4,1,0
"s..8........:235","s..8........",235,5,4,3,0
"s...8.......:235","s...8.......",235,0,4,1,0
"s....8......:235","s....8......",235,0,5,3,1
"s......8....:235","s......8....",235,0,0,0,0
"s..........8:235","s..........8",235,0,7,0,0
"s8..........:236","s8..........",236,0,5,23,1
"s.8.........:236","s.8.........",236,0,0,3,2
"s..8........:236","s..8........",236,5,1,6,0
"s...8.......:236","s...8.......",236,0,4,1,0
"s....8......:236","s....8......",236,0,4,5,0
"s......8....:236","s......8....",236,0,0,0,0
"s..........8:236","s..........8",236,0,6,1,0
"s8..........:237","s8..........",237,3,11,14,3
"s.8.........:237","s.8.........",237,0,0,5,0
"s..8........:237","s..8........",237,5,3,4,0
"s...8.......:237","s...8.......",237,0,4,1,0
"s....8......:237","s....8......",237,0,4,4,1
"s......8....:237","s......8....",237,0,0,0,0
"s..........8:237","s..........8",237,0,5,2,0
"s8..........:238","s8..........",238,4,9,17,0
"s.8.........:238","s.8.........",238,0,5,0,0
"s..8........:238","s..8........",238,5,6,1,0
"s...8.......:238","s...8.......",238,0,3,0,0
"s....8......:238","s....8......",238,0,6,2,1
"s......8....:238","s......8....",238,0,0,0,0
"s..........8:238","s..........8",238,1,5,1,0
"s8..........:239","s8..........",239,1,5,19,1
"s.8.........:239","s.8.........",239,0,1,4,0
"s..8........:239","s..8........",239,5,0,7,0
"s...8.......:239","s...8.......",239,0,2,3,0
"s....8......:239","s....8......",239,0,4,5,0
"s......8....:239","s......8....",239,0,0,0,0
"s........9..:239","s........9..",239,0,0,0,0
"s..........8:239","s..........8",239,0,3,1,3
"s8..........:240","s8..........",240,8,14,6,0
"s.8.........:240","s.8.........",240,0,5,0,0
"s..8........:240","s..8........",240,6,4,2,0
"s...8.......:240","s...8.......",240,0,1,0,0
"s....8......:240","s....8......",240,0,5,3,1
"s......8....:240","s......8....",240,0,0,0,0
"s..........8:240","s..........8",240,3,4,0,0
"s8..........:241","s8..........",241,4,6,10,1
"s.8.........:241","s.8.........",241,0,0,5,0
"s..8........:241","s..8........",241,5,2,5,0
"s...8.......:241","s...8.......",241,0,5,0,0
"s....8......:241","s....8......",241,0,1,7,1
"s......8....:241","s......8....",241,0,0,0,0
"s........9..:241","s........9..",241,0,0,0,0
"s..........8:241","s..........8",241,0,4,2,1
"s7..........:242","s7..........",242,11,15,3,0
"s.7.........:242","s.7.........",242,0,15,4,0
"s..7........:242","s..7........",242,16,1,2,0
"s....7......:242","s....7......",242,0,9,2,4
"s......7....:242","s......7....",242,0,0,0,0
"s..........7:242","s..........7",242,2,4,0,0
"s7..........:243","s7..........",243,0,2,23,4
"s.7.........:243","s.7.........",243,0,5,15,0
"s..7........:243","s..7........",243,1,0,2,1
"s....7......:243","s....7......",243,0,5,6,4
"s......7....:243","s......7....",243,0,0,0,0
"s..........7:243","s..........7",243,2,3,1,0
"s7..........:245","s7..........",245,13,12,4,0
"s.7.........:245","s.7.........",245,1,13,5,0
"s..7........:245","s..7........",245,1,2,1,0
"s....7......:245","s....7......",245,2,8,3,2
"s......7....:245","s......7....",245,0,0,0,0
"s..........7:245","s..........7",245,4,3,0,0
