"courseStu","courseStr","stuUDID","McountN","McountA","McountM","McountE"
"s....6......:73","s....6......",73,0,7,5,1
"s.....6.....:73","s.....6.....",73,0,1,1,0
"s..6........:74","s..6........",74,0,0,0,0
"s6..........:75","s6..........",75,7,15,9,1
"s.6.........:75","s.6.........",75,2,26,2,1
"s..6........:75","s..6........",75,2,15,10,3
"s...6.......:75","s...6.......",75,0,0,2,0
"s....6......:75","s....6......",75,0,0,7,4
"s.....6.....:75","s.....6.....",75,0,0,2,0
"s6..........:76","s6..........",76,1,21,4,2
"s.6.........:76","s.6.........",76,2,26,2,2
"s..6........:76","s..6........",76,2,17,11,0
"s...6.......:76","s...6.......",76,0,0,2,0
"s....6......:76","s....6......",76,0,8,4,1
"s.....6.....:76","s.....6.....",76,0,0,2,0
"s6..........:77","s6..........",77,2,27,3,0
"s.6.........:77","s.6.........",77,3,22,2,0
"s..6........:77","s..6........",77,3,18,9,1
"s...6.......:77","s...6.......",77,0,1,1,0
"s....6......:77","s....6......",77,0,9,4,0
"s.....6.....:77","s.....6.....",77,0,0,2,0
"s6..........:78","s6..........",78,2,25,4,0
"s.6.........:78","s.6.........",78,3,15,0,0
"s..6........:78","s..6........",78,2,19,7,1
"s...6.......:78","s...6.......",78,0,1,1,0
"s....6......:78","s....6......",78,0,5,5,2
"s.....6.....:78","s.....6.....",78,0,0,2,0
"s6..........:79","s6..........",79,2,8,14,9
"s.6.........:79","s.6.........",79,1,21,6,3
"s..6........:79","s..6........",79,2,4,20,1
"s...6.......:79","s...6.......",79,0,0,2,0
"s....6......:79","s....6......",79,0,4,8,1
"s.....6.....:79","s.....6.....",79,0,0,2,0
"s6..........:80","s6..........",80,4,24,3,0
"s.6.........:80","s.6.........",80,5,25,1,0
"s..6........:80","s..6........",80,0,19,10,0
"s...6.......:80","s...6.......",80,0,0,2,0
"s....6......:80","s....6......",80,0,6,4,2
"s.....6.....:80","s.....6.....",80,0,0,2,0
"s6..........:81","s6..........",81,0,8,11,13
"s.6.........:81","s.6.........",81,1,23,5,1
"s..6........:81","s..6........",81,3,6,16,2
"s...6.......:81","s...6.......",81,0,1,1,0
"s....6......:81","s....6......",81,0,1,9,3
"s.....6.....:81","s.....6.....",81,0,0,2,0
"s6..........:82","s6..........",82,2,20,4,0
"s.6.........:82","s.6.........",82,0,27,1,0
"s..6........:82","s..6........",82,2,15,12,1
"s...6.......:82","s...6.......",82,0,0,2,0
"s....6......:82","s....6......",82,0,9,4,0
"s.....6.....:82","s.....6.....",82,0,0,2,0
"s6..........:83","s6..........",83,0,15,10,7
"s.6.........:83","s.6.........",83,1,24,2,1
"s..6........:83","s..6........",83,2,4,22,2
"s...6.......:83","s...6.......",83,0,0,2,0
"s....6......:83","s....6......",83,0,0,11,2
"s.....6.....:83","s.....6.....",83,0,0,2,0
"s6..........:84","s6..........",84,2,16,13,0
"s.6.........:84","s.6.........",84,1,23,5,1
"s..6........:84","s..6........",84,1,8,21,1
"s....6......:84","s....6......",84,0,6,6,1
"s.....6.....:84","s.....6.....",84,0,1,1,0
"s6..........:85","s6..........",85,2,15,13,0
"s.6.........:85","s.6.........",85,2,27,0,0
"s..6........:85","s..6........",85,2,11,14,0
"s...6.......:85","s...6.......",85,0,0,2,0
"s....6......:85","s....6......",85,0,6,6,1
"s.....6.....:85","s.....6.....",85,0,0,2,0
